"","firm_name","ticker.ticker","ticker.name","permno","naics2","naics3","naics4","dValue_CAPM","dValue_10CI","dValue_15CI","lobby","outlier","US_revenue_share","carbon_intensity"
"22","ARCELORMITTAL","MT","ARCELORMITTAL",85261,33,331,3311,-4589461280.14869,-4575566822.55188,-4840770618.64732,1050000,0,0.157117486000061,1.05400002002716
"23","ARCH COAL","ACIIQ","ARCH COAL INC",75326,21,212,2121,238024257.431422,240390011.927146,227819757.55415,2450000,0,1,0.897000014781952
"24","AUTODESK","ADSK","AUTODESK INC",85631,51,511,5112,-89201517.5974847,-89069597.3446887,-101980775.848668,340000,0,0.293505907058716,0.0270000007003546
"25","BARCLAYS","BCS","BARCLAYS PLC",69761,52,522,5221,-120201548.862547,-124361867.83783,-130162296.057439,1740000,0,NA,0.0740000009536743
"26","BARRICK GOLD","GOLD","BARRICK GOLD CORP",71298,21,212,2122,-1014093637.87272,-991372352.134229,-1028597326.69415,689000,0,0.317472368478775,0.897000014781952
"27","BERKSHIRE HATHAWAY","BRK.B","BERKSHIRE HATHAWAY INC",17778,52,524,5241,288299631.735861,119095537.943816,64148787.0987661,12488019,0,NA,0.0740000009536743
"28","BEST BUY","BBY","BEST BUY CO INC",85914,44,443,4431,496618074.74063,486404803.201738,443198729.98451,1820000,0,0.764984607696533,NA
"29","BLACKSTONE","BX","BLACKSTONE INC",92108,52,523,5239,67577186.1092252,63746190.1754435,57601744.1545707,3150000,0,NA,0.0740000009536743
"30","BOEING","BA","BOEING CO",19561,33,336,3364,-434711304.673895,-487227655.404609,-588028083.698214,27736000,0,0.58583652973175,0.100000001490116
"31","BOSTON SCI","BSX","BOSTON SCIENTIFIC CORP",77605,33,339,3391,-176195000.199747,-176516063.323474,-194741173.578864,480000,0,0.565583109855652,0.0729999989271164
"32","BP","BP","BP PLC",29890,32,324,3241,2214692515.93321,2203041568.42096,2117744290.52064,11670000,0,0.346759736537933,1.21000003814697
"33","BRANDS","ACCO","ACCO BRANDS CORP",64282,44,448,4481,508475505.440195,507473060.762777,491517039.79481,290000,0,0.926828622817993,NA
"34","BROOKFIELD ASSET MANAGEMENT","BAM","BROOKFIELD ASSET MANAGEMENT LTD",85259,23,236,2361,-814816378.518075,-816787378.649297,-847278440.457564,450000,0,0.411732375621796,0.156000003218651
"35","BUNGE","BG","BUNGE GLOBAL SA",89138,31,311,3112,-528392221.993247,-530501798.092277,-549011581.846303,1440000,0,0.236658573150635,0.221000000834465
"36","CALPINE","CPN","CALPINE CORP",92530,22,221,2211,-836187028.466738,-839628452.508356,-854314743.482581,1520000,0,1,0
"37","CAMPBELL SOUP","CPB","CAMPBELL SOUP CO",25320,31,311,3114,761086184.817786,767701008.644164,757835627.271546,110000,0,0.719764232635498,0.221000000834465
"38","CANADIAN PACIFIC RAILWAY","CP","CANADIAN PACIFIC RAILWAY LTD/CN",89125,48,482,4821,419129680.535177,414379013.660626,393527384.142489,80000,0,0.159332156181335,1.21700000762939
"39","CATERPILLAR","CAT","CATERPILLAR INC",18542,33,333,3339,845470072.647135,841100166.849709,747819556.613287,3533250,0,0.323521256446838,0.122000001370907
"40","CEMEX DE",NA,NA,87204,32,327,3273,-640370933.799225,-646320307.436195,-670339324.162341,620000,0,NA,1.61300003528595
"41","CENTERPOINT ENERGY","CNP","CENTERPOINT ENERGY INC",21792,22,221,2211,-200230644.083765,-197628934.031109,-201896470.001907,1491101,0,NA,0
"42","CF IND HLDGS",NA,NA,90829,32,325,3253,250186563.414903,252052692.38777,245635088.827614,1630000,0,0.910755157470703,0.619000017642975
"43","CHESAPEAKE ENERGY","CHKAQ","CHESAPEAKE ENERGY CORP",78877,21,211,2111,-308371549.471565,-312219196.644309,-359401018.430688,1310000,0,1,0.897000014781952
"44","CHEVRON","CVX","CHEVRON CORP",14541,32,324,3241,8421328195.87974,8418341319.45346,8220472864.02702,1.8e+07,0,NA,1.21000003814697
"45","CITIGROUP","C","CITIGROUP INC",70519,52,522,5221,-13226463368.279,-13618199430.9085,-13813063989.0679,5360000,1,NA,0.0740000009536743
"46","CLIFFS NATURAL RESOURCES","CLF","CLIFFS NATURAL RESOURCES INC.",27422,21,212,2122,74613597.761388,73764443.3298765,45942222.2599107,50000,0,0.434047371149063,0.897000014781952
"47","CMS ENERGY","CMS","CMS ENERGY CORP",23229,22,221,2211,-33776077.6790895,-32076745.9275727,-35995938.2546415,2170000,0,1,0
"48","CON WAY","","Con-way Inc.",41929,48,484,4841,89031637.4065763,88784764.5425308,86161133.307466,460000,0,0.941772937774658,1.21700000762939
"49","CONAGRA","CAG","CONAGRA BRANDS INC",56274,31,311,3116,565941562.462224,568859003.282518,560396079.711851,560000,0,1,0.221000000834465
"50","CONOCOPHILLIPS","COC","CONOCOPHILLIPS HOLDING CO",13928,32,324,3241,-2691225546.19776,-2687401745.5748,-2809164562.72237,8818930,0,0.65475195646286,1.21000003814697
"51","CONSOL ENERGY","CEIX","CONSOL ENERGY INC",86799,21,212,2121,-863838224.183645,-859269217.834765,-897016518.330987,1840000,0,0.904010891914368,0.897000014781952
