Index,Index.1,Ticker,Company,Total GHG,naics
164,164.0,LLY,ELI LILLY AND COMPANY,157261.0,325412.0
165,165.0,LMT,LOCKHEED MARTIN CORPORATION,76558.0,336415.0
166,166.0,LNG,CHENIERE ENERGY INC,67457.0,211112.0
167,167.0,LSB,LSB INDUSTRIES,1209960.0,
168,168.0,LYB,LYONDELLBASELL INDUSTRIES,6811967.35,325211.0
169,169.0,LZ,THE LUBRIZOL CORPORATION,165372.0,325110.0
170,170.0,MDU,"MDU RESOURCES GROUP,INC.",1517769.45,221210.0
171,171.0,MGE,MADISON GAS AND ELECTRIC CO.,311639.8,
172,172.0,MGM,MGM RESORTS INTERNATIONAL,129747.0,721120.0
173,173.0,MGPI,"MGP INGREDIENTS,INC.",71421.5,312140.0
174,174.0,MHK,"MOHAWK INDUSTRIES,INC",175001.0,314110.0
175,175.0,MIC,"MACQUARIE INFRASTRUCTURE COMPANY,LLC",22816.0,525920.0
176,176.0,MJN,"MEAD JOHNSON & COMPANY,LLC.",15052.0,325412.0
177,177.0,MLM,MARTIN MARIETTA MATERIALS,1203827.0,333120.0
178,178.0,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,29918.5,488330.0
179,179.0,MMM,3M COMPANY,339452.0,339112.0
180,180.0,MNK,MALLINCKRODT INC,47716.0,
181,181.0,MO,"ALTRIA GROUP,INC.",183880.0,312229.0
182,182.0,MON,MONSANTO COMPANY,487137.0,325320.0
183,183.0,MOS,THE MOSAIC COMPANY,1631834.0,325312.0
184,184.0,MPC,MARATHON PETROLEUM COMPANY LP,9237981.0,
185,185.0,MRK,"MERCK & CO.,INC.",469052.0,325412.0
186,186.0,MRO,MARATHON,192226.8,211112.0
187,187.0,MSLT,"MORTON SALT,INC.",418901.0,
188,188.0,MTX,"MINERALS TECHNOLOGIES,INC.",170290.0,211112.0
189,189.0,MU,"MICRON TECHNOLOGY,INC.",33715.0,334413.0
190,190.0,MUR,MURPHY OIL CORPORATION,1499196.0,324110.0
191,191.0,MWA,"MUELLER WATER PRODUCTS,INC.",149551.0,332911.0
192,192.0,MWE,"MARKWEST ENERGY PARTNERS,L.P.",857676.0,211111.0
193,193.0,NAV,"NAVISTAR,INC",27876.0,336211.0
194,194.0,NEE,NEXTERA ENERGY RESOURCES,5123707.0,221122.0
195,195.0,NEM,NEWMONT USA LIMITED,1412708.0,212221.0
196,196.0,NFG,NATIONAL FUEL GAS COMPANY,236699.0,221210.0
197,197.0,NI,NORTHERN INDIANA PUBLIC SERVICE COMPANY,16116942.0,221119.0
198,198.0,NNG,NORTHERN NATURAL GAS COMPANY,266429.0,
199,199.0,NOV,"NATIONAL OILWELL VARCO,LP",19683.0,333132.0
200,200.0,NP,NEENAH ENTERPRISES INCORPORATED,202570.0,322121.0
201,201.0,NRG,"NRG ENERGY,INC",9833487.0,221119.0
202,202.0,NS,"NUSTAR ENERGY,L.P.",219529.0,486110.0
203,203.0,NSC,NORFOLK SOUTHERN CORPORATION,53297.0,482111.0
204,204.0,NUE,NUCOR CORPORATION,3699027.71,331221.0
205,205.0,NVE,NV ENERGY,9761542.1,221121.0
206,206.0,NVL,NOVELIS CORPORATION,253760.4,
207,207.0,NVS,NOVARTIS PHARMACEUTICALS CORPORATION,29552.0,325412.0
208,208.0,NWE,NORTHWESTERN ENERGY,920116.25,221119.0
209,209.0,NX,QUANEX BUILDING PRODUCTS,71724.0,331111.0
211,211.0,ODC,OIL-DRI CORPORATION OF AMERICA,14192.0,339113.0
212,212.0,OGE,OGE ENERGY CORPORATION,19317614.21,221119.0
213,213.0,OI,"OWENS-ILLINOIS,INC.",1174076.0,327213.0
214,214.0,OKS,"ONEOK PARTNERS,L.P.",1020561.9,486210.0
215,215.0,OLN,OLIN CORPORATION,27173.0,325181.0
216,216.0,OTTR,OTTER TAIL CORPORATION,2248635.95,221121.0
217,217.0,OXY,OCCIDENTAL PETROLEUM CORPORATION,6840153.0600000005,211111.0
218,218.0,PAA,PLAINS ALL AMERICAN GP LLC,80773.0,486990.0
219,219.0,PBF,PBF ENERGY,1650759.0,
220,220.0,PCG,PACIFIC GAS AND ELECTRIC COMPANY,1881517.0,221111.0
221,221.0,PEG,PUBLIC SERVICE ENTERPRISE GROUP,15240733.0,221210.0
222,222.0,PEN,PENFORD CORP,123991.0,
223,223.0,PEP,"PEPSICO,INC.",394682.0,312111.0
224,224.0,PFE,"PFIZER,INC.",465836.0,325412.0
225,225.0,PG,PROCTER & GAMBLE,1321404.0,325611.0
226,226.0,PKG,PACKAGING CORPORATION OF AMERICA,907003.0,322211.0
227,227.0,PNW,PINNACLE WEST CAPITAL CORPORATION,12257270.29,221119.0
228,228.0,POL,POLYONE CORPORATION,67396.0,325211.0
229,229.0,POM,PEPCO HOLDINGS INCORPORATED,219213.0,221111.0
230,230.0,POR,PORTLAND GENERAL ELECTRIC COMPANY,4932338.3,221119.0
231,231.0,PPG,"PPG INDUSTRIES,INC.",3792502.75,325510.0
232,232.0,PPL,PPL CORPORATION,1059084.0,221119.0
233,233.0,PSE,PUGET SOUND ENERGY,1460706.0,211111.0
234,234.0,PSEC,PROSPECT CAPITAL CORPORATION,61046.0,525990.0
235,235.0,PX,"PRAXAIR,INC.",3825352.0,325120.0
236,236.0,PXD,"PIONEER NATURAL RESOURCES USA,INC.",371710.75,211111.0
237,237.0,QCOM,QUALCOMM INCORPORATED,26940.0,334220.0
238,238.0,QEP,QEP RESOURCES INC,265824.0,211111.0
239,239.0,QUAD,"QUAD/GRAPHICS,INC.",55794.0,323110.0
240,240.0,REX,REX AMERICAN RESOURCES,79316.64,443111.0
241,241.0,RGP,REGENCY ENERGY PARTNERS LP,265690.0,
242,242.0,RR,"ROLLS-ROYCE NORTH AMERICA HOLDINGS,INC.",33090.0,
243,243.0,RSG,"REPUBLIC SERVICES,INC.",15318996.61,562219.0
244,244.0,RSI,REC SILICON INC,163436.0,
245,245.0,RYN,"RAYONIER,INC",26331.0,531190.0
246,246.0,SCG,SCANA CORPORATION,14653301.0,221121.0
247,247.0,SCHN,"SCHNITZER STEEL INDUSTRIES,INC.",70575.0,423930.0
248,248.0,SCL,STEPAN COMPANY,35182.0,325611.0
249,249.0,SCS,STEELCASE INC,34870.0,337214.0
250,250.0,SD,"SANDRIDGE ENERGY,INC.",954342.0,211111.0
251,251.0,SE,SPECTRA ENERGY CORP,1456348.5,221210.0
252,252.0,SEB,SEABOARD CORPORATION,36101.0,311611.0
253,253.0,SFD,SMITHFIELD FOODS,27076.0,311611.0
254,254.0,SJI,SOUTH JERSEY INDUSTRIES INC,41668.0,486210.0
255,255.0,SJM,J.M. SMUCKER COMPANY,31310.0,311421.0
256,256.0,SLCA,U.S. SILICA COMPANY,26985.0,
257,257.0,SO,SOUTHERN COMPANY,98652305.75,221111.0
258,258.0,SON,SONOCO PRODUCTS COMPANY,498791.0,322121.0
259,259.0,SPR,"SPIRIT AEROSYSTEMS HOLDINGS,INC.",91889.0,336413.0
260,260.0,SRE,SEMPRA ENERGY,1377740.0,221210.0
261,261.0,STLD,"STEEL DYNAMICS,INC.",1413247.0,331221.0
262,262.0,SUM,"SUMMIT MATERIALS,LLC",559242.13,
263,263.0,SUN,SUNOCO INC,6399699.0,324110.0
264,264.0,SUP,"SUPERIOR INDUSTRIES INTERNATIONAL,INC.",45098.0,336399.0
265,265.0,SWN,SOUTHWESTERN ENERGY COMPANY,832946.0,211111.0
266,266.0,SWR,SOUTHWIRE COMPANY,27721.0,
267,267.0,SXT,SENSIENT TECHNOLOGIES CORPORATION,38426.0,325120.0
268,268.0,SYT,SYNGENTA CORPORATION,49601.0,325311.0
269,269.0,THS,"TREEHOUSE FOODS,INC.",95956.0,311421.0
270,270.0,TKR,THE TIMKEN COMPANY,441120.0,332991.0
271,271.0,TRGP,TARGA RESOURCES CORPORATION,658495.0,486210.0
272,272.0,TRP,TRANSCANADA CORPORATION,1930426.0,486210.0
273,273.0,TSN,"TYSON FOODS,INC",548698.0,311615.0
274,274.0,TSO,TESORO CORPORATION,6200678.0,324110.0
275,275.0,TTI,"TETRA TECHNOLOGIES,INC.",51237.0,325998.0
276,276.0,TWI,TITAN INTERNATIONAL,53718.0,336330.0
277,277.0,TXN,"TEXAS INDUSTRIES,INC",2453958.0,334413.0
278,278.0,UAL,"UNITED CONTINENTAL HOLDINGS,INC",113755.0,481111.0
279,279.0,UFS,DOMTAR CORPORATION,1383648.0,322121.0
280,280.0,UGI,"UGI ENERGY SERVICES,INC.",176402.0,221210.0
281,281.0,UNS,UNISOURCE ENERGY CORPORATION,777389.0,221111.0
282,282.0,USAP,"UNIVERSAL STAINLESS & ALLOY PRODUCTS,INC.",39510.0,332312.0
283,283.0,USG,USG CORPORATION,658542.0,327420.0
284,284.0,UTX,UNITED TECHNOLOGIES CORPORATION,190112.0,336412.0
285,285.0,VALE,VALE SA,83826.0,212210.0
286,286.0,VIS,"VISKASE COMPANIES,INC",46112.0,525990.0
287,287.0,VLO,VALERO ENERGY CORPORATION,21651951.0,324110.0
288,288.0,VMC,VULCAN MATERIALS COMPANY,526383.0,212312.0
289,289.0,VRS,VERSO PAPER CORPORATION,588410.0,322121.0
