REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2010,BASF FREEPORT SITE,1001934,602 COPPER ROAD,29.002075,-95.399777,FREEPORT,BRAZORIA,TX,77541,BASF Corporation (100%),685594,C
2010,BASF TOTAL PETROCHEMICALS LLC,1006543,7501 GULFWAY DR,29.951649,-93.887272,PORT ARTHUR,JEFFERSON,TX,77642,BASF Corporation (100%),1541152,"C,X"
2010,BASIC AMERICAN FOODS,1006355,434 SOUTH EMERSON AVENUE,43.37523,-112.127612,SHELLEY,BINGHAM COUNTY,ID,83274,Basic American Foods (100%),31014,C
2010,BASIC AMERICAN FOODS,1004740,415 W. COLLINS RD.,43.202025,-112.383942,BLACKFOOT,BINGHAM,ID,83221,Basic American Foods (100%),53511,C
2010,BATH LANDFILL,1002766,11 DETRITUS DR,43.94,-69.82,BATH,SAGADAHOC,ME,4530,City of Bath (100%),17168,"C,HH"
2010,BATTLE CREEK LANDFILL,1002639,219 LANDFILL DRIVE,38.622463,-78.586795,LURAY,PAGE,VA,22835,Page County (100%),54446,"C,HH"
2010,BAXTER HEALTHCARE SA / BAXTER HEALTHCARE OF PUERTO RICO,1007735,ROAD 3 KM 142.5,17.9631,-66.1503,GUAYAMA,GUAYAMA,PR,784,BAXTER INTERNATIONAL INC. (100%),6695,C
2010,BAY COUNTY WASTE - TO - ENERGY FACILITY,1004618,6510 BAY LINE DRIVE,30.2656,-85.5214,PANAMA CITY,BAY,FL,32404,"Bay County, Florida (100%)",43856,C
2010,"BAY VALLEY FOODS, LLC",1004996,1080 River Avenue,40.45555,-79.98829,PITTSBURGH,ALLEGHENY COUNTY,PA,15212,"TreeHouse Foods, Inc. (100%)",95956,C
2010,BAYER CROPSCIENCE,1001918,8400 HAWTHORN ROAD,39.122417,-94.474833,KANSAS CITY,JACKSON COUNTY,MO,64120,Bayer Corporation (100%),32451,C
2010,BAYOU SALE PRODUCTION FACILITY - BAYOU SALE FIELD,1002999,6972 HWY 317,29.602012,-91.52483,FRANKLIN,SAINT MARY,LA,70538,"Swift Energy Operating, LLC (100%)",56416,C (Abbr)
2010,BAYTOWN LANDFILL,1007684,4791 TRI CITY BEACH RD,29.680398,-94.930647,BAYTOWN,CHAMBERS,TX,77520,"Waste Management, Inc. (100%)",63154,HH
2010,BAYVIEW LANDFILL,1006417,"10800 South State Road 68, 764965",39.95249,-111.95619,Elberta,UTAH,UT,84626,South Utah Valley Solid Waste District (100%),53956,"C,HH"
2010,BAZOR RIDGE GAS PLANT,1002278,595 CEAMON PITTMAN ROAD,31.5436,-88.64131,WAYNESBORO,WAYNE COUNTY,MS,39367,"AIM Midstream Holdings, LLC (98%); American Midstream GP, LLC (2%)",37358,C (Abbr)
2010,"BD LAPLACE, LLC",1000330,138 HWY 3217,30.03686,-90.46454,LAPLACE,ST JOHN THE BAPTIST,LA,70068,ArcelorMittal Holdings LLC (100%),66465,"C,Q"
2010,BEACON HEATING,1006384,541 MADISON STREET,42.3384,-83.0442,DETROIT,WAYNE,MI,48226,"Thermal Ventures II, L.P. (100%)",100067,C
2010,BEAR ISLAND PAPER COMPANY LLC,1005038,10026 OLD RIDGE ROAD,37.8181,-77.4375,ASHLAND,HANOVER,VA,23005,White Birch Paper Company (100%),73065,C
2010,BEAR MOUNTAIN LIMITED,1006139,34759 LENCIONI AVE,35.44735,-119.08652,BAKERSFIELD,KERN COUNTY,CA,93308,Bear Mountain Ltd. (100%),188000,C
2010,BEAUMONT POLYETHYLENE PLANT,1006416,11440 HWY 90 WEST,30.068247,-94.23005,BEAUMONT,JEFFERSON,TX,77713,EXXONMOBIL CORP (100%),19873,C
2010,BEAVER CREEK GAS PLANT,1007568,380 Beaver Creek Road,42.864635,-108.30697,RIVERTON,FREMONT COUNTY,WY,82501,Devon Energy (100%),43117,"C (Abbr),NN"
2010,BEECH HOLLOW SANITARY LANDFILL *,1004815,28 AW LONG ROAD,39.12929,-82.465678,WELLSTON,JACKSON,OH,45692,"Rumpke Waste, Inc. (100%)",224998,"C,HH"
2010,BEECHER LANDFILL,1003744,1055 W GOODENOW RD,41.384792,-87.63704,BEECHER,WILL,IL,60401,"John Sexton Contractors (50%); Waste Management of Illinois, Inc. (50%)",82098,HH
2010,BELLEFIELD BOILER PLANT,1005525,,40.442121,-79.949221,PITTSBURGH,ALLEGHENY,PA,15213,Bellefield Boiler Plant (100%),83754,C
2010,BELLEVILLE LANDFILL,1004353,2381 PARK ROAD,38.486678,-90.014531,BELLEVILLE,SAINT CLAIR,IL,62220,"Republic Services, Inc. (100%)",3753,HH
2010,BENBROOK CMP STN,1005845,1 M SW FROM WHEATLAND ON HWY 377,32.598567,-97.555872,WHEATLAND,TARRANT,TX,76126,Energy Transfer Partners LP (100%),28306,C (Abbr)
2010,BENEDUM GAS PLANT,1002325,10501 HIGHWAY 1555,31.362088,-101.77962,MIDKIFF,UPTON,TX,79755,WTG Benedum Joint Venture (100%),57563,C
2010,BENTONITE PERFORMANCE MINERALS LLC LOVELL,1003718,789 HWY 14A,44.82434,-108.14365,LOVELL,BIG HORN COUNTY,WY,82431,Halliburton (100%),42988,C
2010,BENTONITE PERFORMANCE MINERALS-COLONY,1003913,554 HWY 212 (ZIP PROVIDED IS NOT WY),44.68109,-103.8518,BELLE FOURCHE,BUTTE COUNTY,SD,57717,Halliburton (100%),36224,C
2010,BERKELEY COUNTY LANDFILL,1003478,555 OAKLEY ROAD,33.13181,-80.04206,MONCKS CORNER,BERKELEY COUNTY,SC,29461,Berkeley County Water and Sanitation (100%),86955,HH
2010,BETA OCS PARCELS,1004613,,33.576,-118.1232,Offshore,,CA,0,Beta Offshore (100%),44262,C
2010,BEULAH SANITARY LANDFILL,1000331,6812 East New Market - Elwood Road,38.651945,-75.914445,HURLOCK,DORCHESTER,MD,21643,Council of Dorchester County (100%),16809,HH
2010,BF GOODRICH TIRE MANUFACTURING,1006093,18906 Old 24,41.135806,-84.904667,WOODBURN,ALLEN,IN,46797,,35062,C
2010,BI-COUNTY SOLID WASTE MANAGEMENT SYSTEMS,1005281,3212 Dover Road,36.538,-87.54235,Woodlawn,MONTGOMERY,TN,37191,Montgomery County Government (100%),218300,HH
2010,BIG RIVER LANDFILL,1006223,52 LANDFILL ROAD,33.408492,-90.962802,LELAND,WASHINGTON,MS,38756,"Republic Services, Inc. (100%)",186743,"C,HH"
2010,BIG RIVER RESOURCES GALVA LLC,1006787,1100 SE 2ND STREET,41.17033,-90.02355,GALVA,HENRY COUNTY,IL,61434,,170168,C (Abbr)
2010,BIG RIVER RESOURCES WEST BURLINGTON LLC,1002443,15210 103RD ST,40.832222,-91.218333,WEST BURLINGTON,DES MOINES COUNTY,IA,52655,,158445,C (Abbr)
2010,BIG RIVER UNITED ENERGY LLC,1005626,3294 VINE RD6,42.4874,-91.161,DYERSVILLE,DUBUQUE,IA,52040,,168370,C (Abbr)
2010,BIG RUN LANDFILL,1007094,1837 RIVER CITIES DR,38.37327,-82.75861,ASHLAND,BOYD COUNTY,KY,41102,Enviro Solutions Inc. (100%),141488,HH
