Company,Total GHG,Matched
City of lakeland - lakeland electric,2021485.1,None
City of orlando - ouc,340875.9,None
Grand island utilities department,671794.0,None
Imerys usa inc.,321977.0,None
Citizens energy group,401955.0,None
Transalta corporation,41595.0,None
Cabot corporation,808433.0,None
Cabot corporation,5389.0,None
Norit americas inc.,463261.0,None
Los angeles county sanitation districts,854356.0,None
"Transworld oil usa, inc.",371809.0,None
Calgon carbon corporation,36335.0,Calgon carbon corp
"California dairies, inc.",157460.0,None
Jfe holdings,83826.0,None
Vale sa,83826.0,None
Calumet specialty products partners,32736.0,None
"Calumet shreveport lubricants and waxes, llc",369114.0,None
"Calumet lubricants company, l.p.",105262.0,None
"Calumet lubricants company, lp",112249.0,None
Murphy oil corporation,1499196.0,None
Foster wheeler power systems,5.94,None
City of farmers branch,140315.0,None
"Psi midstream partners, l.p.",108266.0,None
Campbell soup company,226290.0,Campbell soup co
"Lopez foods, inc.",4383.0,None
"Eagle rock field services, l.p.",60630.0,None
City of canton sanitary landfi8ll,28833.0,None
Cape may county municipal utilities authority,61198.0,None
Capitol aggregates,355696.0,None
"United states of america, acting by and through the architect of the capitol",83114.0,None
"Caraustar industries, inc.",113250.0,None
Carbo ceramics inc.,203570.0,None
"Carbon green bioenergy, llc",76922.0,None
"Cardinal cogen, inc.",243280.0,None
"Cardinal ethanol, llc",164125.0,None
"Cardinal glass industries, inc.",192183.0,None
Cardinal glass industries,94252.0,None
Cardinal glass industries inc,95088.0,None
Cardinal fg,95028.0,None
Carestream health inc.,26003.0,None
Cargill,82944.0,None
Cargill incorporated,2450021.0,None
"Cargill, incorporated",345827.0,None
"Cargill, inc.",103637.0,None
"Eagle rock field services, l.p.",44759.0,None
International textile group,33992.0,None
Precision cast parts corp.,26077.0,Precision castparts corp
Carmeuse lime and stone inc.,396870.5,None
"Carmeuse lime & stone, inc.",3189183.0,None
"Carmeuse lime, inc.",87589.0,None
Carmeuse lime and stone,251773.0,None
"Carmeuse lime & stone, inc",633791.0,None
Carmeuse lime & stone,827405.0,None
Carolina stalite company,70999.0,None
Carpenter technology corporation,152937.0,Carpenter technology corp
Carus corporation,27017.0,None
International grand investment corporation,78490.0,None
"Schnitzer steel industries, inc.",70575.0,None
Cascades usa inc,25324.0,None
City of casper,54911.0,None
Caterpillar inc.,143765.0,None
Maricopa county solid waste managment,33250.0,None
